,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
551792,4,3,2,3,3,3,4,3,3,2,1,2
405890,5,4,2,4,3,3,3,2,3,2,1,2
437186,2,2,1,0,1,1,2,1,1,2,1,1
219843,4,5,2,4,3,4,4,4,4,4,3,3
70474,4,4,2,3,3,3,4,3,4,3,2,2
132972,4,4,2,3,3,3,3,3,3,3,1,2
301784,5,5,2,4,3,4,4,3,4,3,2,3
20908,2,2,2,0,2,1,2,2,3,3,1,1
208913,3,2,2,2,2,3,3,1,3,2,1,1
423936,5,4,3,4,3,4,4,4,5,3,2,3
46218,5,5,3,4,4,4,4,4,4,4,2,3
109097,4,4,2,3,3,3,4,3,4,3,2,2
113400,2,2,1,0,2,1,1,1,2,2,1,1
341120,3,3,2,3,3,3,3,3,3,2,1,2
56309,2,2,1,0,2,1,2,1,2,2,1,1
293807,4,3,2,4,3,4,4,3,4,3,1,3
144727,2,2,1,1,2,1,2,1,2,2,1,1
150190,4,3,2,2,3,3,3,3,3,3,1,2
247931,5,3,2,4,3,4,4,3,3,3,1,3
286548,1,0,1,1,1,1,1,1,1,2,1,0
522165,4,3,2,4,3,4,4,3,3,3,1,3
163689,3,3,2,2,2,3,3,3,3,2,1,2
497220,2,2,1,0,2,1,2,1,1,2,1,1
440049,5,5,2,5,4,4,4,4,4,4,3,3
210408,4,3,2,4,3,3,4,3,3,3,1,3
71726,3,2,2,1,2,2,3,1,3,2,0,1
454907,3,3,2,2,2,2,3,3,3,2,1,2
576925,5,4,2,4,3,4,3,3,4,3,2,3
366619,4,3,2,3,3,3,3,3,3,3,1,2
418516,2,2,1,2,2,1,3,1,2,2,1,1
194692,1,2,1,2,2,1,3,1,2,2,1,1
226608,1,2,1,0,0,1,3,0,2,2,1,1
466704,4,3,2,3,3,4,4,3,4,3,1,2
92485,3,2,2,2,2,1,3,1,2,2,1,1
184655,4,5,2,4,3,4,4,4,4,4,1,3
319596,3,3,2,2,3,3,3,3,3,2,1,2
247507,5,5,2,4,4,4,4,4,4,4,2,3
241777,1,1,0,0,0,1,3,1,1,2,1,1
253538,4,4,2,4,3,4,4,4,4,4,2,3
101433,3,2,2,2,2,2,2,1,3,2,1,1
372861,3,3,2,2,2,3,3,3,3,2,1,1
510977,5,3,2,4,3,3,3,3,3,3,1,3
112602,3,3,2,2,2,3,3,3,3,2,1,2
191975,4,3,2,2,3,3,4,3,3,2,1,2
360685,3,3,2,3,3,3,3,3,3,3,1,2
586754,3,2,2,3,3,3,3,3,3,2,1,1
493237,2,2,1,1,0,1,1,1,2,2,1,1
244779,5,5,2,4,3,4,4,4,5,4,3,3
346079,3,3,2,2,2,3,3,3,3,2,1,1
65600,5,4,2,4,3,3,4,3,3,2,1,2
234431,4,4,2,3,3,2,3,3,1,3,2,2
526871,5,4,2,4,3,3,3,3,3,2,1,2
431646,4,4,2,4,3,3,4,3,4,3,2,2
110186,4,4,2,3,3,3,4,3,4,2,2,2
450141,4,3,2,3,3,3,3,3,4,3,2,2
34450,4,2,2,3,3,3,3,3,1,2,2,1
490444,2,2,1,0,2,1,2,1,2,2,1,1
34009,5,4,2,4,3,3,3,3,4,3,2,2
79027,4,3,2,3,3,3,4,3,3,3,1,3
347971,3,4,2,3,3,2,3,2,3,3,2,2
216882,2,2,1,1,2,1,2,2,1,2,1,1
436834,4,3,2,3,3,4,4,3,3,3,1,3
29744,5,4,2,4,3,4,4,3,4,3,1,2
11090,5,5,2,4,4,4,4,4,4,4,1,3
134633,4,4,2,4,3,4,4,3,4,3,2,2
241769,5,4,2,4,3,3,4,3,3,3,4,3
507995,4,3,2,3,3,3,4,3,3,2,1,2
535545,3,3,2,2,3,3,3,3,3,3,1,2
81351,5,5,2,5,4,4,4,4,4,4,3,3
535537,2,2,1,1,2,1,1,2,3,2,1,1
196906,3,3,2,2,2,3,3,3,3,2,1,2
354595,3,3,2,2,3,3,3,3,3,3,1,2
423005,4,3,2,3,3,4,4,4,4,4,1,3
56488,5,5,2,4,4,3,4,3,4,3,1,3
59483,2,0,1,0,0,1,2,0,2,0,1,1
222851,4,5,2,4,4,4,4,4,4,3,1,3
33483,3,3,2,2,2,3,3,3,3,2,1,1
473860,4,4,2,3,3,3,4,3,4,3,2,2
118770,4,3,2,4,3,3,4,3,4,3,1,2
115759,3,3,2,2,2,3,3,3,3,2,1,1
372781,4,4,3,4,3,4,4,4,5,4,2,3
482027,2,2,1,1,2,1,1,2,2,2,1,1
127449,3,2,2,3,2,1,3,3,3,2,2,1
419314,3,3,2,2,2,2,3,2,3,2,1,2
239524,5,5,3,5,4,5,4,4,5,4,3,3
366205,4,4,2,3,3,4,4,4,4,3,2,2
324124,2,2,1,1,2,1,2,2,3,2,1,1
206073,2,2,1,0,2,1,2,2,1,3,2,1
11294,4,3,2,4,3,4,4,3,4,3,1,3
119898,4,3,2,3,3,3,4,3,3,2,1,2
361168,2,2,1,1,2,1,2,1,2,2,1,1
31989,3,3,2,2,3,3,3,3,3,2,1,2
163598,2,2,2,1,2,1,2,2,3,3,1,2
159973,5,5,2,4,4,4,4,4,4,3,1,3
559334,1,2,1,2,1,1,3,1,2,2,1,1
403737,4,3,2,3,3,3,4,3,4,3,1,2
131767,5,5,3,4,3,4,4,4,5,4,2,3
256815,3,4,2,2,3,2,2,2,3,2,2,1
172648,4,3,2,3,3,3,3,3,3,3,1,2
133419,3,2,2,2,2,2,3,2,3,2,1,2
420901,3,3,2,3,2,3,1,2,3,2,1,1
430970,5,4,3,4,3,4,4,4,5,3,2,3
436329,3,2,2,1,2,2,2,2,3,2,2,1
481121,4,3,2,3,3,3,3,3,3,2,1,2
313384,3,2,2,2,2,1,3,1,3,2,1,1
329041,5,4,2,4,3,4,4,3,4,3,1,3
328841,3,3,2,2,3,3,3,3,3,2,1,1
555,4,2,1,3,2,4,3,1,1,3,2,1
520350,4,4,2,3,3,3,4,3,5,4,2,2
123137,2,2,2,1,2,1,2,2,3,3,1,2
384204,3,3,2,2,2,2,3,2,3,2,1,2
331754,4,5,2,4,3,4,4,4,4,4,3,3
557036,5,4,2,4,3,3,4,3,4,3,2,3
472153,5,5,3,4,3,4,4,4,4,3,2,3
359156,3,2,1,2,2,2,3,2,1,2,2,1
264700,4,3,2,3,3,3,4,3,3,3,1,2
592674,4,4,3,3,3,3,0,2,3,2,0,1
472976,3,2,2,2,2,3,3,3,3,2,1,1
112455,3,3,2,2,2,2,3,3,3,2,1,2
49779,1,0,0,0,1,1,1,0,1,1,1,0
228370,2,2,1,2,2,1,2,1,2,2,1,1
227902,4,3,2,3,3,3,4,3,3,2,1,2
56765,5,5,3,5,4,5,4,4,5,4,3,4
151467,1,2,1,2,2,1,3,1,2,2,1,1
546473,3,2,2,2,3,3,3,3,3,2,1,1
513991,5,5,2,4,4,4,4,4,4,3,1,3
484129,5,5,2,5,4,4,4,4,5,4,3,4
60612,2,2,1,0,2,1,2,1,1,2,1,1
36040,5,4,3,4,3,3,5,3,4,3,2,2
181066,1,2,1,1,2,1,1,0,2,2,1,1
85310,4,3,2,3,3,3,3,3,3,2,1,2
422172,5,5,3,5,4,4,4,4,4,4,4,4
582470,3,3,2,2,2,3,3,3,3,2,1,2
5344,5,5,2,4,3,4,4,4,4,3,2,3
293610,4,5,2,4,3,4,4,4,5,4,2,3
427188,4,4,2,3,3,3,4,3,4,3,2,2
266722,4,3,2,3,3,3,3,3,3,2,1,2
82796,2,0,1,0,1,1,2,1,1,1,1,1
444919,4,4,2,3,3,2,3,2,1,2,2,1
144108,4,3,2,4,3,3,3,3,3,3,1,2
135840,4,4,2,3,3,4,4,4,5,4,2,3
78129,3,3,2,2,2,3,3,3,3,2,1,2
82149,4,4,2,3,3,3,3,3,3,2,1,2
450913,3,2,2,3,2,3,1,2,3,2,2,1
167249,2,2,2,1,2,1,2,1,2,2,1,1
217245,3,3,2,0,2,2,2,2,3,3,1,2
143431,2,2,2,1,2,1,2,1,2,2,1,1
355813,4,5,2,4,3,4,4,4,4,4,3,3
196661,2,2,1,1,2,1,2,1,2,2,1,1
422852,2,2,1,2,2,1,2,1,2,2,1,1
577181,3,2,2,2,2,1,2,1,3,2,1,1
532292,4,3,2,4,3,3,3,3,3,3,1,2
413831,3,3,2,2,3,3,3,3,3,2,1,2
21272,2,2,2,2,2,1,2,1,3,2,1,1
277343,3,3,2,2,2,2,2,3,3,2,1,2
33855,1,1,0,0,1,1,1,1,1,2,1,1
