index,id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
0,170287232,2,3,0,1,2,2,1,2,2,1,1,1
1,171738755,5,4,1,4,2,3,3,0,4,3,2,1
2,123082919,3,3,2,0,1,3,3,2,2,2,1,2
3,122846297,3,5,2,2,3,2,4,2,5,4,3,1
4,123039223,4,1,0,0,0,0,0,0,0,0,0,0
5,127981772,5,4,2,2,4,3,5,2,5,3,3,3
6,118282436,4,3,0,4,4,3,4,3,2,4,1,2
7,84072166,4,1,4,2,3,4,3,4,4,1,2,1
8,171449725,5,4,2,3,2,3,5,1,3,4,3,2
9,122835952,4,3,2,3,3,4,3,2,5,2,2,3
10,122968454,4,3,3,3,2,4,3,4,5,1,3,3
11,117898458,5,3,3,3,4,3,5,3,5,2,1,2
12,171337025,4,4,4,1,0,3,4,3,1,4,2,2
13,171337052,4,4,2,2,3,4,4,5,5,3,3,3
14,122916779,5,5,4,5,4,2,4,4,5,1,1,2
15,84326077,3,2,2,1,1,1,2,1,2,3,1,2
16,122996865,5,5,3,4,4,3,3,3,4,3,1,3
17,172630385,3,4,1,4,3,3,3,3,3,2,1,2
18,192833622,2,4,1,2,3,2,4,2,4,3,0,1
19,171172194,4,4,2,1,3,4,4,3,3,4,3,2
20,122675254,4,4,2,4,4,3,4,4,4,4,3,4
21,122654476,4,2,3,5,3,1,2,1,2,0,3,1
22,171331306,5,3,0,5,3,5,4,5,4,3,1,3
23,84111256,4,5,2,4,5,2,4,3,5,3,2,3
24,170332844,3,3,3,3,2,2,4,0,2,3,4,4
25,122952713,4,3,2,2,1,2,3,2,3,2,1,3
26,171089089,4,5,1,5,3,3,3,5,4,4,2,3
27,194098775,3,4,2,3,3,2,3,2,4,3,3,4
28,170442561,4,5,3,5,4,5,4,4,5,4,2,3
29,121686184,4,3,2,4,3,3,4,4,0,0,0,0
30,84315454,3,1,2,2,2,2,1,2,2,2,2,1
31,122874499,4,1,2,4,3,3,5,4,3,3,2,2
32,172543307,3,5,3,4,5,4,4,3,4,2,0,0
33,121082411,4,2,2,5,3,3,4,4,5,3,1,1
34,170287935,2,2,2,1,3,2,3,4,2,4,1,3
35,84244338,5,4,3,3,2,4,3,5,5,4,2,1
